pedigree_no,name,Chinese_Name,birth_place,birth_day,Sex, Sire,Dam
1087,DING_DING,,GENGDA BC,2017/7/30,F,661,544
1088,YOU_YOU,,GENGDA BC ,2017/7/30,M,661,544
1089,XIN_XIN,,GENGDA BC ,2017/7/29,M,MULT,694
1090,XING_AN,,GENGDA BC ,2017/7/29,M,MULT,694
1092,ZHEN_SHENG,,GENGDA BC ,2017/8/3,F,MULT,672
1093,QIAN_BAO,,GENGDA BC ,2017/8/3,M,MULT,672
1094,YUAN_MENG,,BEAUVAL,2017/8/4,M,736,723
1098,MING_MING,,GENGDA BC ,2017/8/7,M,MULT,750
1099,JIN_SHAN,,YAAN BC ,2017/8/8,F,MULT,827
1101,FU_FU,,GENGDA BC ,2017/8/10,M,MULT,495
1102,QING_CHENG,,GENGDA BC ,2017/8/11,M,MULT,432
1103,RU_RU,,YAAN BC ,2017/8/13,M,MULT,771
1104,MAN_LAN,,YAAN BC ,2017/8/13,F,MULT,771
1105,HUA_HONG,,GENGDA BC ,2017/8/17,M,MULT,631
1106,LING_YAN,,GENGDA BC ,2017/8/18,M,MULT,735
1107,LI_DUI,,GENGDA BC ,2017/8/21,M,502,571
1108,JING_BAO,,GENGDA BC ,2017/8/21,F,502,571
1109,BA_TE,,YAAN BC ,2017/8/21,M,MULT,838
1110,RAN_RAN,,YAAN BC ,2017/8/22,M,674,837
1113,RUI_RUI,,YAAN BC ,2017/9/5,F,MULT,860
1114,XING_XING,,YAAN BC ,2017/9/6,M,MULT,791
1115,YU_LEI,,GENGDA BC ,2017/9/14,M,MULT,643
1116,MENG_MENG,,LOUGUANTA ,2017/8/21,F,MULT,509
1117,XUE_BAO,,SHANGHAI ,2017/10/4,M,719,625
1118,QIAN_JIN,,SHANGHAI ,2017/10/4,F,MULT,650
1119,Jia_yuan,,SZECHWAN,wild ~2006 +/-3yr,F,WILD,WILD
1120,FENG_YI-,,KUALA LUM ,2018/1/14,F,639,641
1121,CHUAN_ZAI,,CHENPANDA ,2018/5/20,F,703,765
1122,MENG_BAO,,CHENPANDA,2018/5/23,F,649,652
1123,MENG_YU,,CHENPANDA,2018/5/23,F,649,652
1124,YUN_WEN,,CHENPANDA ,2018/6/5,F,532,796
1125,YUN_WU,,CHENPANDA ,2018/6/5,M,532,796
1126,AI_MI,,CHENPANDA ,2018/6/15,M,624,811
1127,AI_LUN,,CHENPANDA ,2018/6/15,M,624,811
1128,TIAN_BAO,,CCRCGP,2018/6/16,F,488,759
1129,RONG_YAO,,CHENPANDA ,2018/6/16,M,532,678
1130,HAO_YUE,,CCRCGP,2018/6/27,M,MULT,511
1131,QI_CHENG,,CHENPANDA ,2018/7/2,F,540,537
1132,QI_HANG,,CHENPANDA ,2018/7/2,M,540,537
1133,YI_YI,,CCRCGP,2018/7/2,M,502,487
1134,JIU_JIU,,CCRCGP,2018/7/2,F,502,487
1135,NAN_XIAO_YUE,,CCRCGP,2018/7/10,F,MULT,702
1136,LING_LANG,,CCRCGP,2018/7/12,F,579,596
1137,LONG_ZAI,,PANYU,2018/7/12,M,MULT,878
1138,YUAN_XIAO,,CCRCGP,2018/7/14,M,661,862
1139,QI_QI,,SHANGHAI ,2018/7/17,F,MULT,477
1142,HE_HE,,CCRCGP,2018/7/25,M,WILD,581
1143,MEI_MEI,,CCRCGP,2018/7/25,F,WILD,581
1144,TING_ZAI,,PANYU,2018/7/29,M,MULT,618
1145,RUN_JIU,,CHENPANDA ,2018/7/31,F,711,853
1146,NIAN_NIAN,,CCRCGP,2018/7/31,F,MULT,672
1147,ZHI_LU,,CCRCGP,2018/7/31,M,MULT,672
1148,JIN_YU,,CHENPANDA ,2018/8/4,M,724,855
1149,QIAO_YUE,,CCRCGP,2018/8/6,F,488,800
1150,YUN_DUO-,,CCRCGP,2018/8/9,F,MULT,810
1151,GANG_BENG_ER,,CCRCGP,2018/8/10,M,748,704
1152,XIANG_YE,,CCRCGP,2018/8/13,M,503,750
1153,TIAN_TIAN,,CCRCGP,2018/8/13,F,503,750
1154,CAI_BING,,NISHIMURO ,2018/8/14,F,390,521
1155,JIA_BAO,,CCRCGP,2018/8/17,M,MULT,846
1157,CHEN_XI,,CCRCGP,2018/8/17,F,MULT,755
1158,BAI_TIAN,,CCRCGP ,2018/8/20,F,MULT,784
1159,CUI_CUI,,CCRCGP,2018/8/21,M,MULT,698
1160,CAN_CAN,,CCRCGP,2018/8/22,F,MULT,698
1161,QING_TIAN,,CCRCGP,2018/9/2,M,MULT,664
1162,ZHAN_WANG,,CCRCGP,2018/9/2,F,502,643
1163,NUO_MI,,CCRCGP,2018/9/3,F,MULT,572
1164,SHUN_SHUN,,CCRCGP,2018/9/9,M,MULT,771
1165,DOU_DOU,,CCRCGP,2018/9/19,M,MULT,654
1166,ER_DOU,,CCRCGP,2018/9/19,M,MULT,654
1167,MAN_MAN,,CCRCGP,1901/12/19,M,719,735
1169,JI_NIAN,,CCRCGP,2019/5/29,M,503,766
1170,JI_QING,,CCRCGP,2019/5/29,F,503,766
1171,JI_XIAO,,CHENPANDA ,2019/6/5,F,649,671
1172,CHENG_FENG,,CHENPANDA ,2019/6/11,F,649,824
1173,CHENG_LANG,,CHENPANDA ,2019/6/11,F,649,824
1174,YING_TAO,,CCRCGP,2019/6/20,F,592,756
1175,SHUANG_SHUANG,,CHONGQING ,2019/6/23,M,719,548
1176,CHONG_CHONG,,CHONGQING ,2019/6/23,M,719,548
1177,XI_XI,,CHONGQING ,2019/6/23,F,MULT,829
1178,QING_QING,,CHONGQING ,2019/6/23,F,MULT,829
1179,QI_LIN,,CCRCGP,2019/6/26,M,MULT,708
1180,TIAN_KE,,CCRCGP,2019/6/26,F,MULT,708
1181,A_LING-1,,CCRCGP,2019/6/28,F,488,739
1183,LIN_BING-1,,CCRCGP,2019/6/28,M,502,740
1184,LIN_BING-2,,CCRCGP,2019/6/28,M,502,740
1185,BAO_GE,,CHENPANDA ,2019/7/6,M,724,801
1186,BAO_MEI,,CHENPANDA ,2019/7/6,F,724,801
1187,FU_TAO,,CCRCGP,2019/7/9,M,747,566
1188,FU_LIN,,CCRCGP,2019/7/9,F,747,566
1189,JIA_JIA,,LOUGUANTA ,2019/7/10,M,624,509
1190,YUAN_YUAN,,LOUGUANTA ,2019/7/10,F,624,509
1191,YAO_MAN-1,,CCRCGP,2019/7/26,F,MULT,759
1192,YAO_MAN-2,,CCRCGP,2019/7/27,M,MULT,759
1193,ZHEN_ZHEN-,,CCRCGP,2019/7/28,M,MULT,694
1194,MEI_XI-,,CCRCGP,2019/8/1,F,MULT,631
1196,YANG HUA-2,,CCRCGP,2019/8/3,M,775,791
1197,YANG HUA-1,,CCRCGP,2019/8/3,M,775,791
1198,SU_SHAN-1,,CCRCGP,2019/8/4,F,MULT,827
1199,SU_SHAN-2,,CCRCGP,2019/8/4,F,MULT,827
1200,HAO_HAO-1,,PAIRI DAI,2019/8/8,M,745,741
1201,HAO_HAO-2,,PAIRI DAI,2019/8/8,F,745,741
1202,JIN_BAO,,CHENPANDA ,2019/8/9,M,703,990
1204,LU_LU-,,CCRCGP,2019/8/10,F,MULT,936
1205,XI_MENG-,,CCRCGP,2019/8/13,F,MULT,511
1206,YOU_YOU-,,CCRCGP,2019/8/14,M,MULT,474
1207,YI_RAN-1,,CCRCGP,2019/8/17,F,674,837
1209,CAO_CAO-1,,CCRCGP,2019/8/20,M,WILD,581
1210,CAO_CAO-2,,CCRCGP,2019/8/20,F,WILD,581
1211,ZHENG_ZHENG,,CCRCGP,2019/8/21,F,751,834
1212,QIN_KU_ER,,LOUGUANTA ,2019/8/25,F,624,562
1213,MENG_YUAN,,BERLINZOO,2019/8/31,M,769,868
1214,MENG_XIANG,,BERLINZOO,2019/8/31,M,769,868
1215,SU_LIN-1,,CCRCGP,2019/8/31,M,MULT,596
1216,SU_LIN-2,,CCRCGP,2019/9/1,M,MULT,596
1217,SHUI_XIU-,,CCRCGP,2019/9/1,M,579,698
1218,SI_XUE-,,SHANGHAI ,2019/9/13,M,MULT,625
1219,QIAO_QIAO-1,,CCRCGP,2019/9/16,M,WILD,860
1220,QIAO_QIAO-2,,CCRCGP,2019/9/16,M,WILD,860
1221,GUO_QING,,PANYU,2019/9/30,?,751,547
1222,JIA_JIA-,,SHANGHAI ,2019/10/6,M,MULT,846
1223,SHUN_SHUN,,CHENPANDA ,2019/10/11,M,540,635
1224,LIU_LIU,,CHENPANDA ,2019/10/11,F,540,635
1225,HUA_MEI-1,,CCRCGP,2019/10/17,?,MULT,487
1226,HUA_MEI-2,,CCRCGP,2019/10/17,F,MULT,487
1227,ZHI_CHUN-1,,CCRCGP,2019/10/20,F,MULT,800
1228,ZHI_CHUN-2,,CCRCGP,2019/10/20,M,MULT,800
1230,PING_PING,,CHENPANDA ,2020/3/17,M,540,570
1231,AN_AN,,CHENPANDA ,2020/3/17,M,540,570
1232,CHUN_SHENG,,CHENPANDA ,2020/3/21,M,857,763
1233,RUN_YUE,,CHENPANDA ,2020/6/5,F,711,853
1234,__,,CHENPANDA ,2020/6/5,?,711,853
1235,AI_JIU,,CHENPANDA ,2020/6/5,F,711,811
1236,YUAN_BAO,,TAIPEI ,2020/6/28,F,588,587
1237,HE_HUA,,CHENPANDA ,2020/7/4,F,649,522
1238,HE_YE,,CHENPANDA ,2020/7/4,M,649,522
1239,XIANG_GUO,,CHENPANDA ,2020/7/6,F,MULT,665
1240,YUN_YU,,CHENPANDA ,2020/8/16,M,711,796
1241,__,,LOUGUANTA ,2020/8/17,F,MULT,911
1242,__,,CCRCGP,2020/8/19,F,MULT,784
1243,__,,NZP-WASH,2020/8/21,M,458,473
1244,__,,LOUGUANTA ,2020/8/22,F,624,908
1245,__,,LOUGUANTA ,2020/8/22,F,624,908
1246,JIN_XI,,CHENPANDA ,2020/9/1,M,724,855
1247,JIN_SHUANG,,CHENPANDA ,2020/9/1,F,724,855
1248,__,,LOUGUANTA ,2020/10/11,M,MULT,509
1249,LU_XI,,CHENPANDA ,2020/10/18,M,711,883
1250,__,,CHENPANDA ,2020/10/18,F,711,883
1251,CHONG_YANG,,CHENPANDA ,2020/10/25,M,540,537
1252,ZHU_YU,,CHENPANDA ,2020/10/25,F,540,537
1253,FAN_XING,,RHENEN,2020/5/1,M,879,884
1254,FU_BAO,,YONG IN ,2020/7/20,F,841,869
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
