FDSW202100238-1r		0
FDSW202100239-1r		0
FDSW202100240-1r		0
FDSW202100242-1r		0
FDSW202100243-1r		0
FDSW202100244-1r		0
FDSW202100246-1r	F	509
FDSW202100247-1r		0
FDSW202100249-1r		0
FDSW202100956-1r	F	870
FDSW202100958-1r	M	858
FDSW202100959-1r	M	857
FDSW202100960-1r	F	725
FDSW202100961-1r	F	678
FDSW202100962-1r	F	871
FDSW202100963-1r	F	681
FDSW202143895-1r	F	1224
FDSW210021237-1r	F	765
FDSW210021238-1r	F	725
FDSW210021239-1r	F	870
FDSW210021240-1r	F	871
FDSW210021241-1r	F	681
FDSW210021242-1r	M	857
FDSW210021243-1r	M	858
FDSW210021244-1r	F	598
FDSW210021700-1b	F	523
FDSW210021701-1r	F	570
FDSW210021702-1r	M	788
FDSW210021703-1r	F	680
FDSW210021704-1r	M	1032
FDSW210021705-1r	F	1033
FDSW210021706-1r	M	649
FDSW210021707-1r	F	990
FDSW210021708-1r	M	532
FDSW210021709-1r	F	522
FDSW210021710-1r	F	637
FDSW210021711-1r	F	762
FDSW210021712-1r	M	584
FDSW210021713-1r	F	480
FDSW210021714-1r	M	703
FDSW210021715-1r	F	635
FDSW210021716-1r	M	963
FDSW210021717-1r	M	731
FDSW210021718-1r	F	555
FDSW210021719-1r	F	665
FDSW210021720-1b	F	671
FDSW210021721-1b	F	796
FDSW210021722-1r	M	342
FDSW210021723-1r	F	645
FDSW210021724-1r	F	561
FDSW210021725-1r	F	314
FDSW210021726-1r	F	537
FDSW210021727-1b	F	761
FDSW210021728-1r	F	783
FDSW210021729-1r	F	709
FDSW210021730-1r	F	490
FDSW210021731-1r	F	278
FDSW210021732-1r	M	717
FDSW210021733-2r	F	823
FDSW210021734-1r	F	362
FDSW210021735-1r		0
FDSW210021736-1r	M	895
FDSW210021737-1r	M	954
FDSW210021738-1r	M	894
FDSW210021739-1r	M	496
FDSW210021740-1r	M	394
FDSW210021741-1r	M	986
FDSW210021742-1r	F	1082
FDSW210021743-1r	M	1081
FDSW210021744-1r	M	1077
FDSW210021745-1r	F	948
FDSW210021746-1r	M	994
FDSW210021747-1r	M	1038
FDSW210021748-1r	M	831
FDSW210021749-1r	M	1016
FDSW210021750-1r	M	1017
FDSW210021751-1r	F	1073
FDSW210021752-1r	M	1056
FDSW210021753-1r	F	1122
FDSW210021754-1r	M	1129
FDSW210021755-1r	M	1013
FDSW210021756-1r	M	540
FDSW210021757-1b	F	401
FDSW210021758-1r	F	1145
FDSW210021759-1r	F	1124
FDSW210021760-1r	M	1125
FDSW210021761-1r	F	652
FDSW210021762-1r	F	1119
FDSW210021763-1r	M	724
FDSW210021764-1r	F	853
FDSW210021765-1r	M	703
FDSW210021766-1r	F	883
FDSW210021767-1r	F	1008
FDSW210021768-1r	M	958
FDSW210021769-1r		0
FDSW210021770-1b		0
